date,avg_execution_price,total_trade_value_usd,total_trades,avg_sentiment_value,sentiment_class
2024-09-20,3.709,198112.39,28,41.57142857142857,Extreme Fear
2024-09-24,3.886,42794.99,7,39.42857142857143,Fear
2024-09-25,4.112,19271.14,21,36.57142857142857,Fear
2024-09-26,3.9874200000000006,232900.57,35,34.0,Fear
2024-09-27,4.077008695652174,182733.04,322,37.714285714285715,Fear
2024-09-28,4.101,204394.47,28,38.857142857142854,Fear
2024-09-30,4.005525,261722.65,672,37.0,Fear
2024-10-25,2.912,163072.0,35,51.57142857142857,Fear
2024-10-26,2.6499333333333337,532013.16,36,56.166666666666664,Fear
2024-11-29,3.35,4015.13,7,49.57142857142857,Extreme Fear
2024-12-02,7.825377272727272,547941.1,308,49.714285714285715,Extreme Fear
2024-12-03,146.23901172413792,3957219.28,1015,49.142857142857146,Extreme Fear
2024-12-04,11.076000000000002,0.7000000000000001,7,47.285714285714285,Extreme Fear
2024-12-09,12.477666666666668,494573.03,294,48.285714285714285,Extreme Fear
2024-12-12,18.277745283018866,2242235.52,742,47.285714285714285,Extreme Fear
2024-12-13,17.522333333333332,619894.7999999999,210,46.142857142857146,Extreme Fear
2024-12-14,20.908232558139535,614718.51,301,48.285714285714285,Extreme Fear
2024-12-15,22.525194444444445,979549.34,252,47.42857142857143,Extreme Fear
2024-12-16,24.32,448241.85,287,48.142857142857146,Extreme Fear
2024-12-17,28.06142857142857,308700.63,98,49.0,Extreme Fear
2024-12-18,24.866129032258062,695799.9299999999,217,47.0,Extreme Fear
2024-12-19,24.683815384615386,1872915.59,455,48.714285714285715,Extreme Fear
2024-12-20,24.672428571428572,807744.0,196,49.142857142857146,Fear
2024-12-23,26.709342857142857,838405.89,245,51.142857142857146,Fear
2024-12-25,28.677,200739.0,7,51.857142857142854,Fear
2024-12-27,28.416666666666668,396900.07,42,53.142857142857146,Fear
2024-12-28,26.955647058823526,572738.18,238,52.0,Extreme Fear
2024-12-29,29.264357142857143,490614.45999999996,98,49.285714285714285,Extreme Fear
2024-12-30,27.469866666666665,251185.13,105,48.142857142857146,Extreme Fear
